target_table,cm_table,target_column,data_type,description,reference_key,reference_column_name,remarks,included_data_model_v1
fct_sku,SKU,brand_key,Integer,unique identifier of the brand associated with the SKU,Foreign Key,dim_brand.brand_key,,Yes
fct_sku,SKU,unit_of_measure_key,Integer,unique identifier of the unit of measure of the SKU,Foreign Key,dim_unit_of_measure.unit_of_measure_key,,Yes
fct_sku,SKU,barcode,Varchar,barcode associated with the SKU,,,MKT only,Yes
fct_sku,SKU,sku_code,Varchar,code idenitifying the SKU,,,TSS only,Yes
fct_sku,SKU,amount,Decimal,total amount paid for the quantity of SKU sold or purchased,,,,Yes
fct_sku,SKU,unit_price,Decimal,price per unit of the SKU,,,"MKT-derived,
TSS- to clarify (last_cost, last_retail, orig_cost, orig_retail, price_tier)",Yes
fct_sku,SKU,quantity,Decimal,total quantity/weight of the SKU sold or purchased,,,,Yes
fct_sku,SKU,persistent_id,Integer,unique identifer of customer- generated by TAMR,,,,Yes
fct_sku,SKU,created_date,Date,date and time when the record was created,,,,Yes
fct_sku,SKU,updated_date,Date,date and time when the record was most recently updated or modified,,,,Yes
fct_transaction,Transaction Header,transaction_key,Integer,unique identifer of the transaction,Primary Key,,,Yes
fct_transaction,Transaction Header,customer_key,Integer,   unique identifer of customer,,,,Yes
fct_transaction,Transaction Header,branch_key,Integer,unique identifer of the branch where the transaction takes place,Primary Key/Foreign Key,dim_branch.branch_key,,Yes
fct_transaction,Transaction Header,business_unit_key,Integer,unique identifer of the business unit where the transaction takes place,Foreign Key,dim_business_unit.business_unit_key,,Yes
fct_transaction,Transaction Header,company_key,Integer,unique identifer of the company where the transaction takes place,Foreign Key,dim_company.company_key,,Yes
fct_transaction,Transaction Header,channel_key,Integer,unique identifer of the channel where the transaction takes place,Foreign Key,dim_channel.channel_key,,Yes
fct_transaction,Transaction Header,subchannel_key,Integer,unique identifer of the subchannel where the transaction takes place,Foreign Key,dim_channel.channel_key,,Yes
fct_transaction,Transaction Header,transaction_date_key,Integer,unique identifer of the date when the transaction has been fulfilled/completed,Foreign Key,dim_date.date_key,,Yes
fct_transaction,Transaction Header,transaction_time_key,Integer,unique identifer of the time when the transaction has been fulfilled/completed,Foreign Key,dim_time.time_key,,Yes
fct_transaction,Transaction Header,total_amount,Decimal,value of the total amount of the transaction,,,,Yes
fct_transaction,Transaction Header,total_discount,Decimal,value of the total discount of the transaction,,,,Yes
fct_transaction,Transaction Header,tota_sales,Decimal,value of the total sales of the transaction (amount - discount),,,,Yes
fct_transaction,Transaction Header,total_product_quantity,Decimal,count of the total products bought in the transaction,,,,Yes
fct_transaction,Transaction Header,total_unique_product_quantity,Integer,count of the total unique products bought in the transaction,,,,Yes
fct_transaction,Transaction Header,smac_no,Integer,unique identifer of SMAC used upon purchase,,,,Yes
fct_transaction,Transaction Header,smac_card_type,Varchar,card type of the SMAC used upon purchase,,,,Yes
fct_transaction,Transaction Header,persistent_id,Varchar,unique identifer of customer- generated by TAMR,,,,Yes
fct_transaction,Transaction Header,created_date,Timestamp,date and time when the record was created,,,,Yes
fct_transaction,Transaction Header,updated_date,Timestamp,date and time when the record was most recently updated or modified,,,,Yes
